730.0	9.8416E+1	1.3003E-1	6.6492E-2	1.0236E+0	1.3844E-3	0.149	0.015	0.146	B-B-3-0
740.0	9.8137E+1	1.3127E-1	6.7859E-2	1.0239E+0	1.4022E-3	0.077	0.031	0.052	B-B-3-1
750.0	9.7977E+1	1.2821E-1	6.7439E-2	1.0226E+0	1.3683E-3	0.032	0.009	0.033	B-B-3-1
760.0	9.7752E+1	1.2500E-1	6.7242E-2	1.0232E+0	1.3388E-3	0.059	0.058	0.023	B-B-3-0
770.0	9.7497E+1	1.3258E-1	7.2999E-2	1.0237E+0	1.4252E-3	0.041	0.031	0.036	B-B-3-1
780.0	9.7470E+1	1.0407E-1	5.8615E-2	1.0239E+0	1.1194E-3	0.135	0.054	0.187	B-B-3-1
790.0	9.7080E+1	1.1483E-1	6.6415E-2	1.0214E+0	1.2341E-3	0.036	0.005	0.032	B-B-3-1
800.0	9.6868E+1	1.1688E-1	6.9009E-2	1.0217E+0	1.2595E-3	0.079	0.017	0.066	B-B-3-0
810.0	9.6559E+1	1.1354E-1	6.8223E-2	1.0231E+0	1.2307E-3	0.080	0.047	0.033	B-B-3-0
820.0	9.5900E+1	2.3367E-1	1.4284E-1	1.0172E+0	2.5213E-3	0.050	0.049	0.004	B-B-3-2
830.0	9.5556E+1	4.8279E-1	2.9765E-1	1.0157E+0	5.2120E-3	0.004	0.014	0.018	A-B-2-0
840.0	9.5317E+1	2.3016E-1	1.4271E-1	1.0296E+0	2.5595E-3	0.380	0.424	0.046	B-B-3-0
850.0	9.5212E+1	1.1158E-1	6.8936E-2	1.0247E+0	1.2305E-3	0.173	0.044	0.209	B-B-3-0
860.0	9.4845E+1	1.1318E-1	6.9776E-2	1.0236E+0	1.2504E-3	0.001	0.016	0.015	B-B-2-0
870.0	9.4063E+1	1.7043E-1	1.0413E-1	1.0232E+0	1.8968E-3	0.097	0.015	0.101	B-B-3-0
880.0	9.3578E+1	5.7597E-1	3.4902E-1	1.0169E+0	6.3642E-3	0.038	0.096	0.097	A-M-3-0
890.0	9.3168E+1	5.2457E-1	3.1470E-1	1.0234E+0	5.8964E-3	0.051	0.031	0.023	A-B-3-0
900.0	9.2657E+1	5.3635E-1	3.1664E-1	1.0222E+0	6.0483E-3	0.020	0.062	0.076	A-B-3-1
910.0	9.2104E+1	4.8235E-1	2.8140E-1	1.0250E+0	5.5019E-3	0.019	0.024	0.043	A-B-3-1
920.0	9.1374E+1	8.4614E-1	4.8799E-1	1.0168E+0	9.5734E-3	0.001	0.012	0.013	A-A-2-0
930.0	9.0532E+1	3.2541E-1	1.8439E-1	1.0262E+0	3.7855E-3	0.070	0.064	0.024	M-B-3-0
940.0	8.9557E+1	4.7047E-1	2.6290E-1	1.0216E+0	5.4832E-3	0.025	0.043	0.025	A-B-3-2
950.0	8.8372E+1	5.4135E-1	3.0017E-1	1.0225E+0	6.4042E-3	0.143	0.159	0.082	A-B-3-0
960.0	8.7134E+1	3.6499E-1	2.0007E-1	1.0210E+0	4.3662E-3	0.013	0.049	0.037	M-B-3-1
970.0	8.5588E+1	3.7770E-1	2.0365E-1	1.0238E+0	4.6251E-3	0.033	0.025	0.024	B-B-3-0
980.0	8.3833E+1	1.1482E+0	6.0699E-1	1.0159E+0	1.4135E-2	0.061	0.062	0.021	A-A-3-0
990.0	8.1691E+1	7.6137E-1	3.9233E-1	1.0174E+0	9.6475E-3	0.031	0.035	0.007	A-M-3-0
1000.0	7.9362E+1	4.6519E-1	2.3394E-1	1.0241E+0	6.1475E-3	0.133	0.123	0.033	A-B-3-0
1010.0	7.6656E+1	2.9931E-1	1.4452E-1	1.0232E+0	4.0881E-3	0.010	0.020	0.030	B-B-2-0
1020.0	7.3453E+1	2.6802E-1	1.2328E-1	1.0250E+0	3.8332E-3	0.059	0.027	0.040	B-B-3-1
1030.0	6.9781E+1	1.7557E-1	7.5510E-2	1.0262E+0	2.6497E-3	0.008	0.007	0.015	B-B-3-1
1040.0	6.5097E+1	1.4595E-1	5.7837E-2	1.0258E+0	2.3592E-3	0.056	0.035	0.032	B-B-3-0
1050.0	5.9700E+1	1.4388E-1	5.1660E-2	1.0230E+0	2.5224E-3	0.125	0.028	0.119	B-B-3-2
1060.0	5.2728E+1	1.1756E-1	3.7980E-2	1.0233E+0	2.3348E-3	0.111	0.091	0.022	B-CA-3-1
1070.0	4.6727E+1	9.0847E-2	2.6455E-2	1.0240E+0	2.0385E-3	0.088	0.109	0.161	B-CA-3-0
1080.0	4.1055E+1	1.0532E-1	2.8339E-2	1.0210E+0	2.6742E-3	0.046	0.021	0.067	B-CA-3-0
1090.0	3.5830E+1	9.2268E-2	2.3026E-2	1.0254E+0	2.7074E-3	0.010	0.036	0.026	B-CA-2-0
1100.0	3.0349E+1	5.4215E-2	1.2563E-2	1.0253E+0	1.8778E-3	0.115	0.104	0.160	B-CA-3-1
